time,dist,distLeft,distRight,direction,status
32.939,65.74,-1,-1,-1,DRIVING
32.997,74.72,-1,-1,-1,DRIVING
33.056,70.98,-1,-1,-1,DRIVING
33.115,63.29,-1,-1,-1,DRIVING
33.173,63.68,-1,-1,-1,DRIVING
33.231,60.84,-1,-1,-1,DRIVING
33.29,61.66,-1,-1,-1,DRIVING
33.348,58.80,-1,-1,-1,DRIVING
33.406,61.97,-1,-1,-1,DRIVING
33.465,59.74,-1,-1,-1,DRIVING
33.522,57.49,-1,-1,-1,DRIVING
33.581,56.05,-1,-1,-1,DRIVING
33.638,53.74,-1,-1,-1,DRIVING
33.696,52.41,-1,-1,-1,DRIVING
33.754,53.74,-1,-1,-1,DRIVING
33.812,50.66,-1,-1,-1,DRIVING
33.869,48.76,-1,-1,-1,DRIVING
33.927,46.50,-1,-1,-1,DRIVING
33.984,44.73,-1,-1,-1,DRIVING
34.041,43.78,-1,-1,-1,DRIVING
34.099,41.33,-1,-1,-1,DRIVING
34.155,40.27,-1,-1,-1,DRIVING
34.212,39.07,-1,-1,-1,DRIVING
34.269,38.18,-1,-1,-1,DRIVING
34.326,40.27,-1,-1,-1,DRIVING
34.382,35.34,-1,-1,-1,DRIVING
34.44,33.71,-1,-1,-1,DRIVING
34.496,32.71,-1,-1,-1,DRIVING
34.552,31.71,-1,-1,-1,DRIVING
34.609,30.18,-1,-1,-1,DRIVING
34.665,28.25,-1,-1,-1,DRIVING
34.721,26.78,-1,-1,-1,DRIVING
34.778,25.47,-1,-1,-1,DRIVING
34.834,24.16,-1,-1,-1,DRIVING
34.89,22.63,-1,-1,-1,DRIVING
34.946,23.39,-1,-1,-1,DRIVING
35.002,20.65,-1,-1,-1,DRIVING
35.057,18.36,22.07,28.37,RIGHT,OBSTACLE
37.432,29.87,-1,-1,-1,DRIVING
37.488,36.69,-1,-1,-1,DRIVING
37.545,33.61,-1,-1,-1,DRIVING
37.602,36.18,-1,-1,-1,DRIVING
37.658,35.70,-1,-1,-1,DRIVING
37.715,35.09,-1,-1,-1,DRIVING
37.772,35.14,-1,-1,-1,DRIVING
37.828,37.71,-1,-1,-1,DRIVING
37.885,36.65,-1,-1,-1,DRIVING
37.942,35.68,-1,-1,-1,DRIVING
37.998,35.87,-1,-1,-1,DRIVING
38.055,35.87,-1,-1,-1,DRIVING
38.11,32.98,-1,-1,-1,DRIVING
38.166,33.85,-1,-1,-1,DRIVING
38.223,32.78,-1,-1,-1,DRIVING
38.28,31.30,-1,-1,-1,DRIVING
38.336,29.80,-1,-1,-1,DRIVING
38.392,28.65,-1,-1,-1,DRIVING
38.449,28.73,-1,-1,-1,DRIVING
38.505,48.40,-1,-1,-1,DRIVING
38.562,47.92,-1,-1,-1,DRIVING
38.62,48.52,-1,-1,-1,DRIVING
38.677,45.39,-1,-1,-1,DRIVING
38.734,45.39,-1,-1,-1,DRIVING
38.789,42.59,-1,-1,-1,DRIVING
38.846,40.85,-1,-1,-1,DRIVING
38.903,40.56,-1,-1,-1,DRIVING
38.96,39.46,-1,-1,-1,DRIVING
39.017,39.20,-1,-1,-1,DRIVING
39.073,41.55,-1,-1,-1,DRIVING
39.131,39.15,-1,-1,-1,DRIVING
39.188,37.76,-1,-1,-1,DRIVING
39.244,36.75,-1,-1,-1,DRIVING
39.301,35.22,-1,-1,-1,DRIVING
39.358,33.97,-1,-1,-1,DRIVING
39.414,32.59,-1,-1,-1,DRIVING
39.471,31.59,-1,-1,-1,DRIVING
39.527,29.73,-1,-1,-1,DRIVING
39.583,29.73,-1,-1,-1,DRIVING
39.639,27.18,-1,-1,-1,DRIVING
39.695,25.76,-1,-1,-1,DRIVING
39.75,24.34,-1,-1,-1,DRIVING
39.806,23.02,-1,-1,-1,DRIVING
39.863,21.66,-1,-1,-1,DRIVING
39.918,20.23,-1,-1,-1,DRIVING
39.974,20.23,-1,-1,-1,DRIVING
40.029,17.51,22.49,58.07,RIGHT,OBSTACLE
42.405,69.55,-1,-1,-1,DRIVING
42.464,73.24,-1,-1,-1,DRIVING
42.522,74.24,-1,-1,-1,DRIVING
42.582,74.32,-1,-1,-1,DRIVING
42.641,100.98,-1,-1,-1,DRIVING
42.702,74.05,-1,-1,-1,DRIVING
42.761,83.98,-1,-1,-1,DRIVING
42.82,78.51,-1,-1,-1,DRIVING
42.88,78.12,-1,-1,-1,DRIVING
42.939,76.70,-1,-1,-1,DRIVING
42.998,75.63,-1,-1,-1,DRIVING
43.057,73.20,-1,-1,-1,DRIVING
43.116,69.72,-1,-1,-1,DRIVING
43.174,68.99,-1,-1,-1,DRIVING
43.234,69.00,-1,-1,-1,DRIVING
43.292,69.33,-1,-1,-1,DRIVING
43.351,65.28,-1,-1,-1,DRIVING
43.409,63.92,-1,-1,-1,DRIVING
43.467,63.38,-1,-1,-1,DRIVING
43.526,61.25,-1,-1,-1,DRIVING
43.584,57.38,-1,-1,-1,DRIVING
43.642,57.21,-1,-1,-1,DRIVING
43.7,57.70,-1,-1,-1,DRIVING
43.758,60.04,-1,-1,-1,DRIVING
43.816,59.50,-1,-1,-1,DRIVING
43.874,51.37,-1,-1,-1,DRIVING
43.932,52.92,-1,-1,-1,DRIVING
43.99,49.78,-1,-1,-1,DRIVING
44.047,48.50,-1,-1,-1,DRIVING
44.104,48.23,-1,-1,-1,DRIVING
44.162,45.49,-1,-1,-1,DRIVING
44.219,44.25,-1,-1,-1,DRIVING
44.276,47.45,-1,-1,-1,DRIVING
44.334,41.94,-1,-1,-1,DRIVING
44.391,39.25,-1,-1,-1,DRIVING
44.447,37.49,-1,-1,-1,DRIVING
44.505,35.73,-1,-1,-1,DRIVING
44.561,34.78,-1,-1,-1,DRIVING
44.617,32.57,-1,-1,-1,DRIVING
44.674,30.58,-1,-1,-1,DRIVING
44.731,29.78,-1,-1,-1,DRIVING
44.787,28.42,-1,-1,-1,DRIVING
44.843,27.00,-1,-1,-1,DRIVING
44.899,25.11,-1,-1,-1,DRIVING
44.955,23.53,-1,-1,-1,DRIVING
45.011,22.02,-1,-1,-1,DRIVING
45.067,20.55,-1,-1,-1,DRIVING
45.123,19.40,30.69,4.49,LEFT,OBSTACLE
47.495,40.26,-1,-1,-1,DRIVING
47.551,40.85,-1,-1,-1,DRIVING
47.608,40.60,-1,-1,-1,DRIVING
47.666,40.68,-1,-1,-1,DRIVING
47.722,40.21,-1,-1,-1,DRIVING
47.779,39.85,-1,-1,-1,DRIVING
47.837,38.90,-1,-1,-1,DRIVING
47.893,38.90,-1,-1,-1,DRIVING
47.947,36.99,-1,-1,-1,DRIVING
48.005,36.87,-1,-1,-1,DRIVING
48.061,36.58,-1,-1,-1,DRIVING
48.118,66.64,-1,-1,-1,DRIVING
48.177,65.06,-1,-1,-1,DRIVING
48.235,63.58,-1,-1,-1,DRIVING
48.293,63.89,-1,-1,-1,DRIVING
48.352,63.73,-1,-1,-1,DRIVING
48.41,31.94,-1,-1,-1,DRIVING
48.466,59.09,-1,-1,-1,DRIVING
48.525,56.88,-1,-1,-1,DRIVING
48.582,55.52,-1,-1,-1,DRIVING
